source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
Microglia/Macrophages,OPC-like-tumor,CCL4,ACKR2,0.5069385766983032,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL5,ACKR2,0.012486291117966175,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL7,ACKR2,0.04294363409280777,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL8,ACKR2,0.0,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL7,ACKR1,0.04294363409280777,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL13,ACKR2,0.7155171632766724,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL22,ACKR2,0.12039247155189514,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL26,ACKR2,0.09431534260511398,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL17,ACKR1,0.23554068803787231,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL14,ACKR2,0.2903991639614105,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL17,ACKR2,0.23554068803787231,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL1,CXCR2,0.0,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL2,CXCR2,0.06352580338716507,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL3,CXCR2,0.038204438984394073,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL5,CXCR2,0.14248068630695343,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL6,CXCR2,0.007783744018524885,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL8,CXCR2,0.11533038318157196,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,PPBP,CXCR2,0.0,0.0030934016685932875,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL12,CXCR4,0.001144303590990603,0.0561540350317955,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL11,ACKR3,0.0,0.9224082231521606,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL12,ACKR3,0.001144303590990603,0.9224082231521606,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL13,CXCR5,0.04852144792675972,0.16626621782779694,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,CXCL16,CXCR6,0.014516494236886501,0.0015575020806863904,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,MIF,ACKR3,0.34441301226615906,0.9224082231521606,0.7447300553321838,0.04913861124189037,0.0,MIF,Secreted Signaling,PMID: 26175090
Microglia/Macrophages,OPC-like-tumor,CX3CL1,CX3CR1,0.5659404397010803,0.3445914685726166,0.7447300553321838,0.04913861124189037,0.0,CX3C,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,XCL1,XCR1,0.002065348671749234,0.014088014140725136,0.7447300553321838,0.04913861124189037,0.0,XCR,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,XCL2,XCR1,0.473442941904068,0.014088014140725136,0.7447300553321838,0.04913861124189037,0.0,XCR,Secreted Signaling,KEGG: hsa04060
Microglia/Macrophages,OPC-like-tumor,IL4,IL4R,0.005218266509473324,0.0018797324737533927,0.7447300553321838,0.04913861124189037,0.0,IL4,Secreted Signaling,KEGG: hsa04060
